"","Sample","depth_m","reef_zone","month","response","bleaching_status","clade_A","clade_C","clade_D","A1","3040_A","A1ee","3042_A","3112_A","3041_A","3113_A","A1cl","3070_A","3132_A","A1bv","3188_A","3139_A","3311_A","2964_A","3071_A","3241_A","A1z","C3ae","C1","C3","C3f","C3g","C3bj","C1c","C21","C3p","C21.12","3043_C","C3.10","C3h","C1b","C3k","C50f","C3cv","3045_C","1855_C","3050_C","3046_C","C3j","3049_C","3054_C","2460_C","C3ch","3056_C","C3.11","C1al","3048_C","C3cp","C42.2","1752_C","C3b","3055_C","3057_C","3018_C","3058_C","C3ba","C72k","C3.9","3064_C","C1bh","3020_C","3051_C","3047_C","3025_C","3059_C","3044_C","3052_C","C1br","3053_C","C1w","C116","3063_C","3028_C","3066_C","3061_C","3027_C","3060_C","3069_C","3067_C","3062_C","C1cb","1482_C","3023_C","3065_C","3138_C","1534_C","3068_C","3086_C","C3v","3084_C","C3cg","3104_C","3097_C","3029_C","C1n","C1h","D1","D6","D4","D2d","D1d","D2.2","D1b","D6c","D2","3030_D","3074_D","D1u","3031_D","3033_D","3034_D","3098_D","3032_D","3035_D","3079_D","D4d","3076_D","3172_D","3108_D","D4c","3173_D","3087_D","3174_D","3015_D","3169_D","D2c","3124_D","3192_D"
"23","225Mc2",5,"crest","May","resistant","healthy",4041.35770898515,0,0,43116.7147812453,2946.75380432195,866.839525110563,521.438597876903,0,573.165306786291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5087158094274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","226Mc2",5,"crest","May","resistant","healthy",2886.18501726443,0,0,43935.737267763,1966.0349424534,1625.97948002323,505.796780253272,0,0,0,0,414.353294557765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14402231996147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57282678395376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","226Oc2",5,"crest","October","resistant","healthy",3458.6112679761,1271.74881994784,0,43444.0307339821,2328.01633849968,1567.69465794106,518.2461679144,0,612.348761562014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829.89683795363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72761141007579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","227Mc2",5,"crest","May","resistant","healthy",3219.47259098986,0,0,44283.058758128,2276.33765871568,1028.87447157182,355.206662804558,0,587.928269469614,0,0,0,0,0,0,0,0,0,0,0,0,3.76877095813855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","227Oc",5,"crest","October","resistant","healthy",3468.03060333024,0,0,43850.6115444316,2363.49810720667,1210.28560745455,410.422789213089,0,694.109706910481,0,0,0,0,0,0,0,0,0,0,0,0,8.39310407388731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","228Mc",5,"crest","May","resistant","healthy",6165.50605331628,0,0,41043.5558892281,5268.23906011017,965.630192688482,346.0886973795,0,551.178295826611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","228Oc",5,"crest","October","resistant","healthy",7318.65130983296,0,0,43886.5545634671,6177.75301095599,1014.13182122397,414.103826999786,0,726.794471877176,0,0,0,0,219.728561265193,0,0,0,0,0,0,0,0,0,59.157689571398,50.7065910611983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","229Mc",5,"crest","May","died","bleached",5911.06691962987,751.088553955511,0,63782.440001902,2779.02764963539,1487.15533683191,3132.03926999448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.152397553772,743.577668415956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.597969855996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","22NBOb",1,"backreef","October","unknown","healthy",4246.08397517344,5.10434274879171,0,45075.7216227583,3473.86983646338,1590.36736215924,481.995793850188,0,0,0,0,0,0,217.299162734276,0,0,0,0,0,0,0,0,22.6049464589347,0,0,0,0,5.10434274879171,0,0,0,0,0,0,3.64595910627979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10434274879171,0,0,0,0,0,0,0,0,0,0,0,8.02111003381554,0,3.64595910627979,2.91676728502383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","230Mc2",5,"crest","May","resistant","healthy",3623.94797781898,0,0,43064.8071729813,3143.91009269744,1409.68871898369,480.037885121544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7082273015716,0,16.9027424338572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
